,Date,Open,High,Low,Close,Volume,MACD,RSI,ATR,MFI,CPI,USDX,IR,TB,EFFR,RMT,Score
0,7/17/2016,1718.15,1749.96,1715.14,1745.74,2272045,-37.50942007,74.94014314,23.12288958,70.19650992,112.9,107.519,8.6,0.44,0.82,51.94,0.20955
1,7/18/2016,1745.74,1786.68,1745.74,1786.59,2870497,-41.07188461,82.96283782,24.39554033,67.19742366,112.9,107.519,8.6,0.44,0.82,51.94,0.21927
2,7/19/2016,1786.59,1813.42,1785.33,1800.47,2902127,-44.50217011,84.86275173,24.6594303,65.48681825,112.9,107.519,8.6,0.44,0.82,51.94,-0.02642
3,7/20/2016,1800.47,1813.44,1782.57,1786.84,3474801,-45.59527505,75.34283946,25.10304242,55.03708437,112.9,107.519,8.6,0.44,0.82,51.94,0.15107
4,7/21/2016,1786.84,1804.75,1779.71,1798.83,3154492,-46.88855926,77.86340445,25.09853939,67.32606043,112.9,107.519,8.6,0.44,0.82,51.94,0.129
5,7/25/2016,1798.83,1838.59,1798.83,1838.49,4740972,-50.53123424,84.07615805,26.14578658,74.82245592,112.9,107.519,8.6,0.44,0.82,51.94,0.2205
6,7/26/2016,1838.49,1869.08,1837.97,1866.5,5888711,-55.04374331,87.04017533,26.50037325,76.76608425,112.9,107.519,8.6,0.44,0.82,51.94,0.378825
7,7/27/2016,1866.5,1888.36,1866.28,1881.45,4388798,-59.14449836,88.37300968,26.18463231,83.48144371,112.9,107.519,8.6,0.44,0.82,51.94,0.5045
8,7/28/2016,1881.45,1888.01,1863.32,1877.93,10707146,-61.40253154,85.97098035,26.07787286,74.03088278,112.9,107.519,8.6,0.44,0.82,51.94,0.32266
9,7/31/2016,1877.93,1878.02,1861.02,1862.76,3594619,-61.26175945,75.73465388,25.42945337,55.72231432,112.9,107.519,8.6,0.44,0.82,51.94,0.3861625
10,8/1/2016,1862.76,1866.89,1831.61,1845.41,5115420,-59.06928263,65.45053158,26.13306384,54.01542122,115.7,107.0765,8.6,0.44,0.82,51.94,0.330125
11,8/2/2016,1845.41,1846.91,1824.66,1826.47,3298000,-55.16749273,55.89088238,25.85570214,50.60898409,115.7,107.0765,8.6,0.44,0.82,51.94,0.145488889
12,8/3/2016,1826.47,1831.7,1795.89,1813.72,2499504,-50.46475144,50.19610309,26.56672341,46.35377469,115.7,107.0765,8.6,0.44,0.82,51.94,0.319422222
13,8/4/2016,1813.72,1814.04,1768.6,1768.6,2751009,-42.6058544,35.44804037,27.9148146,42.66436297,115.7,107.0765,8.6,0.44,0.82,51.94,0.33542
14,8/7/2016,1768.6,1805.75,1759.24,1764.72,2116354,-35.65354642,34.44391482,29.24304213,38.32724351,115.7,107.0765,8.6,0.44,0.82,51.94,0.25386
